Designator,Mid X,Mid Y,Rotation,Layer
A1,132.44,-102.76,180,top
D1,111.85,-81.5,180,top
D2,145.75,-122.65,180,top
D3,111.85,-85.25,180,top
D4,111.75,-89,180,top
D5,111.75,-92.75,180,top
J1,114.55,-104,90,top
J10,118.445,-89,90,top
J11,118.445,-92.75,90,top
J12,114.55,-125,90,top
J13,124.29,-130,0,top
J14,111.5,-95.75,0,top
J15,136.16,-131.025,0,top
J16,139.85,-131.025,0,top
J17,143.53,-131.025,0,top
J2,114.55,-115,90,top
J3,138,-75.25,0,top
J4,123,-75.3,0,top
J5,132.5,-131.025,0,top
J6,146.45,-102,270,top
J7,144,-114.05,0,top
J8,118.445,-81.5,90,top
J9,118.445,-85.25,90,top
R1,115.1625,-96.5,180,top
U2,145.235,-85.68,0,top
H1,131.44,-102.76,180,top
